"station","hour_of_day","avg_availability","avg_delta"
150,16,11.09,-1.66
150,17,9.56,-1.53
150,18,8.71,-1.03
150,19,7.34,-1.37
150,20,5.73,-1.65
150,21,4.18,-1.56
150,22,3.54,-0.63
150,23,3.38,-0.17
151,0,8.36,0.12
151,1,8.30,-0.01
151,2,8.33,0.17
151,3,8.39,0.06
151,4,8.45,-0.01
151,5,8.29,-0.09
151,6,8.11,-0.18
151,7,7.79,-0.38
151,8,7.51,-0.28
151,9,7.32,-0.19
151,10,6.96,-0.36
151,11,6.79,-0.17
151,12,6.74,-0.05
151,13,6.36,-0.38
151,14,6.11,-0.25
151,15,6.19,0.08
151,16,6.29,0.10
151,17,6.24,-0.04
151,18,6.13,-0.14
151,19,6.60,0.48
151,20,7.19,0.64
151,21,7.60,0.40
151,22,7.81,0.22
151,23,7.97,0.16
152,0,9.91,0.17
152,1,10.00,0.13
152,2,10.08,0.20
152,3,10.12,0.04
152,4,10.14,0.02
152,5,10.08,-0.05
152,6,9.78,-0.30
152,7,9.14,-0.69
152,8,8.76,-0.38
152,9,8.65,-0.12
152,10,8.63,-0.02
152,11,8.47,-0.16
152,12,8.49,0.02
152,13,8.36,-0.13
152,14,8.43,0.07
152,15,8.45,0.02
152,16,8.53,0.09
152,17,8.75,0.22
152,18,8.98,0.21
152,19,9.17,0.20
152,20,9.32,0.16
152,21,9.47,0.16
152,22,9.70,0.22
152,23,9.90,0.21
153,0,13.11,-0.03
153,1,13.14,0.01
153,2,13.24,0.17
153,3,13.22,-0.02
153,4,13.32,0.01
153,5,13.20,-0.03
153,6,12.80,-0.40
153,7,12.29,-0.50
153,8,12.09,-0.20
153,9,11.97,-0.12
153,10,12.04,0.07
153,11,11.78,-0.26
153,12,11.65,-0.13
153,13,11.47,-0.18
153,14,11.63,0.15
153,15,12.13,0.50
153,16,12.50,0.37
153,17,12.56,0.05
153,18,12.26,-0.27
153,19,12.47,0.21
153,20,12.90,0.37
153,21,13.14,0.23
153,22,13.20,0.07
153,23,13.14,-0.06
154,0,8.13,-0.19
154,1,8.12,-0.10
154,2,8.06,-0.07
154,3,8.02,-0.04
154,4,7.89,-0.11
154,5,7.81,-0.11
154,6,7.60,-0.21
154,7,6.85,-0.68
154,8,6.51,-0.34
154,9,6.91,0.40
154,10,7.34,0.43
154,11,7.66,0.32
154,12,8.08,0.42
154,13,7.97,-0.12
154,14,7.88,-0.08
154,15,7.89,0.01
154,16,8.16,0.27
154,17,7.78,-0.38
154,18,8.22,0.48
154,19,8.59,0.37
154,20,8.79,0.19
154,21,8.93,0.14
154,22,8.86,-0.07
154,23,8.69,-0.17
155,0,11.33,-0.33
155,1,10.99,-0.35
155,2,11.14,0.11
155,3,11.11,-0.03
155,4,11.14,0.02
155,5,11.28,0.15
155,6,11.86,0.58
155,7,14.39,2.55
155,8,15.68,1.29
155,9,16.46,0.78
155,10,16.63,0.17
155,11,17.18,0.55
155,12,17.42,0.24
155,13,17.79,0.37
155,14,17.23,-0.57
155,15,16.44,-0.79
155,16,15.18,-1.25
155,17,14.90,-0.29
155,18,14.35,-0.51
155,19,13.44,-0.91
155,20,12.64,-0.79
155,21,11.89,-0.75
155,22,11.42,-0.47
155,23,11.09,-0.33
156,0,13.90,0.05
156,1,13.84,0.01
156,2,13.80,-0.04
156,3,13.84,0.05
156,4,13.88,0.06
156,5,13.94,0.04
156,6,13.75,-0.19
156,7,13.85,0.04
156,8,13.80,-0.06
156,9,13.85,0.05
156,10,13.92,0.07
156,11,14.05,0.13
156,12,14.35,0.30
156,13,14.53,0.18
156,14,14.53,0.00
156,15,14.15,-0.38
156,16,13.97,-0.19
156,17,14.03,0.07
156,18,13.95,-0.05
156,19,14.09,0.14
156,20,14.13,0.12
156,21,14.12,-0.02
156,22,13.84,-0.27
156,23,13.78,-0.07
157,0,8.06,0.18
157,1,8.30,0.22
157,2,8.33,-0.13
157,3,8.34,0.00
157,4,8.31,0.03
157,5,8.38,0.01
157,6,8.24,-0.14
157,7,8.08,-0.14
157,8,8.01,-0.06
157,9,7.95,-0.06
157,10,7.80,-0.16
157,11,7.54,-0.26
157,12,7.43,-0.11
157,13,7.39,-0.04
157,14,7.20,-0.19
157,15,7.00,-0.21
157,16,7.01,0.01
157,17,6.96,-0.05
157,18,7.14,0.16
157,19,7.13,-0.02
157,20,7.35,0.20
157,21,7.51,0.16
157,22,7.66,0.15
157,23,7.78,0.13
158,0,7.86,0.11
158,1,7.96,0.07
158,2,7.98,0.08
158,3,8.00,0.03
158,4,7.97,0.00
158,5,7.99,-0.01
158,6,7.66,-0.33
158,7,7.18,-0.47
158,8,6.99,-0.19
158,9,6.88,-0.11
158,10,6.60,-0.28
158,11,6.38,-0.23
158,12,6.21,-0.17
158,13,6.06,-0.15
158,14,5.72,-0.33
158,15,5.93,0.21
158,16,6.29,0.35
158,17,6.33,0.04
158,18,6.38,0.03
158,19,6.62,0.24
158,20,6.93,0.30
158,21,7.37,0.45
158,22,7.56,0.19
158,23,7.67,0.11
159,0,15.13,0.08
159,1,15.24,0.11
159,2,15.34,0.30
159,3,15.46,0.12
159,4,15.57,0.04
159,5,15.49,-0.01
159,6,15.08,-0.41
159,7,14.79,-0.28
159,8,14.43,-0.36
159,9,14.15,-0.28
159,10,13.58,-0.56
159,11,13.43,-0.15
159,12,13.70,0.27
159,13,13.64,-0.06
159,14,13.55,-0.09
159,15,13.55,0.00
159,16,14.01,0.46
159,17,14.66,0.65
159,18,14.85,0.19
159,19,14.93,0.08
159,20,14.82,-0.13
159,21,14.98,0.16
159,22,15.21,0.22
159,23,15.27,0.06
160,0,9.10,-0.03
160,1,9.06,-0.02
160,2,9.04,-0.15
160,3,9.04,0.00
160,4,9.08,0.00
160,5,9.05,0.01
160,6,9.17,0.12
160,7,9.35,0.16
160,8,9.15,-0.20
160,9,9.12,-0.03
160,10,9.13,0.01
160,11,9.16,0.03
160,12,9.29,0.14
160,13,9.49,0.20
160,14,9.52,0.02
160,15,9.36,-0.15
160,16,9.57,0.20
160,17,9.46,-0.10
160,18,9.53,0.02
160,19,9.25,-0.27
160,20,9.09,-0.15
160,21,9.01,-0.08
160,22,9.09,0.08
160,23,9.12,0.03
