"station","hour_of_day","avg_availability","avg_delta"
30,7,19.92,10.39
30,8,26.87,6.95
30,9,27.97,1.10
30,10,25.62,-2.34
30,11,22.84,-2.79
30,12,21.83,-1.01
30,13,22.29,0.46
30,14,19.36,-2.93
30,15,10.90,-8.46
30,16,6.97,-3.92
30,17,5.70,-1.28
30,18,5.14,-0.67
30,19,4.25,-0.88
30,20,3.88,-0.46
30,21,3.92,0.04
30,22,3.74,-0.18
30,23,4.16,0.42
31,0,9.93,0.93
31,1,9.91,0.12
31,2,9.52,-0.04
31,3,8.65,-0.88
31,4,8.14,-0.48
31,5,7.56,-0.61
31,6,5.25,-2.32
31,7,3.84,-1.63
31,8,4.46,0.62
31,9,4.26,-0.20
31,10,3.22,-1.04
31,11,2.01,-1.21
31,12,3.12,1.11
31,13,3.51,0.39
31,14,4.16,0.64
31,15,3.73,-0.43
31,16,2.83,-0.90
31,17,2.90,0.07
31,18,3.77,0.82
31,19,4.76,1.00
31,20,5.94,1.25
31,21,7.39,1.45
31,22,8.16,0.77
31,23,8.30,0.14
32,0,1.36,-0.16
32,1,1.43,0.03
32,2,1.20,-0.19
32,3,1.05,-0.15
32,4,1.19,0.14
32,5,1.32,0.13
32,6,1.24,-0.08
32,7,1.65,0.43
32,8,1.28,-0.37
32,9,1.84,0.55
32,10,1.89,0.05
32,11,2.48,0.60
32,12,3.02,0.53
32,13,3.05,0.03
32,14,3.46,0.41
32,15,3.77,0.31
32,16,3.21,-0.56
32,17,3.31,0.09
32,18,2.65,-0.68
32,19,2.29,-0.36
32,20,2.63,0.31
32,21,2.62,-0.01
32,22,2.21,-0.41
32,23,1.87,-0.34
33,0,4.31,0.19
33,1,4.33,-0.06
33,2,3.80,-0.44
33,3,3.33,-0.47
33,4,3.23,-0.17
33,5,2.81,-0.35
33,6,2.27,-0.54
33,7,2.06,-0.16
33,8,2.48,0.42
33,9,2.43,-0.05
33,10,2.61,0.18
33,11,2.90,0.30
33,12,3.47,0.56
33,13,3.03,-0.44
33,14,2.44,-0.59
33,15,3.42,0.98
33,16,3.69,0.27
33,17,3.57,-0.12
33,18,3.59,-0.03
33,19,3.79,0.20
33,20,3.28,-0.51
33,21,3.33,0.05
33,22,4.47,1.14
33,23,4.64,0.17
34,0,1.66,-0.14
34,1,1.49,-0.20
34,2,1.03,-0.51
34,3,0.96,-0.07
34,4,0.93,-0.05
34,5,0.93,0.01
34,6,1.26,0.34
34,7,2.09,0.85
34,8,2.09,0.01
34,9,1.89,-0.21
34,10,2.31,0.42
34,11,2.48,0.18
34,12,2.54,0.06
34,13,3.01,0.47
34,14,2.76,-0.26
34,15,2.38,-0.38
34,16,2.98,0.60
34,17,3.40,0.42
34,18,3.65,0.24
34,19,2.96,-0.69
34,20,2.47,-0.53
34,21,1.86,-0.61
34,22,1.79,-0.07
34,23,1.63,-0.17
36,0,15.87,0.93
36,1,16.16,0.40
36,2,16.20,0.43
36,3,16.47,0.27
36,4,16.21,-0.39
36,5,15.23,-0.86
36,6,11.75,-3.48
36,7,6.46,-5.47
36,8,4.35,-2.11
36,9,3.83,-0.51
36,10,3.49,-0.34
36,11,2.90,-0.59
36,12,2.83,-0.07
36,13,3.75,0.92
36,14,5.07,1.32
36,15,7.23,2.17
36,16,10.44,3.21
36,17,11.80,1.36
36,18,11.87,0.04
36,19,11.46,-0.40
36,20,12.98,1.48
36,21,14.49,1.51
36,22,16.10,1.61
36,23,16.47,0.37
37,0,11.71,0.30
37,1,11.79,0.21
37,2,11.46,-0.36
37,3,10.63,-0.84
37,4,10.28,-0.34
37,5,10.06,-0.24
37,6,8.46,-1.60
37,7,4.42,-4.22
37,8,3.17,-1.26
37,9,3.17,0.00
37,10,3.23,0.06
37,11,2.75,-0.48
37,12,3.00,0.26
37,13,2.70,-0.30
37,14,3.05,0.34
37,15,4.72,1.67
37,16,7.03,2.31
37,17,7.96,0.93
37,18,8.69,0.60
37,19,10.13,1.44
37,20,10.94,0.94
37,21,11.54,0.60
37,22,11.97,0.42
37,23,11.87,-0.10
38,0,8.36,0.46
38,1,8.88,0.41
38,2,9.12,0.40
38,3,9.25,0.13
38,4,9.33,0.00
38,5,8.59,-0.65
38,6,7.54,-1.05
38,7,4.63,-2.83
38,8,2.95,-1.68
38,9,3.14,0.19
38,10,3.05,-0.09
38,11,3.17,0.12
38,12,2.93,-0.25
38,13,2.50,-0.42
38,14,2.68,0.18
38,15,3.45,0.77
38,16,5.05,1.60
38,17,6.00,0.95
38,18,6.89,0.95
38,19,7.36,0.47
38,20,8.22,0.73
38,21,8.57,0.35
38,22,8.83,0.26
38,23,8.94,0.11
39,0,11.21,0.16
39,1,10.77,-0.04
39,2,10.49,-0.27
39,3,10.31,-0.18
39,4,10.42,0.01
39,5,10.39,0.07
39,6,10.97,0.57
39,7,8.92,-2.44
39,8,7.18,-1.74
39,9,7.55,0.37
39,10,7.41,-0.14
39,11,6.78,-0.63
39,12,6.98,0.21
39,13,7.27,0.29
